test_id,username,password,course_navigation,input_answer,expected_status,expected_score,scenario
TC001001,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,2,Incomplete answer,0.00 out of 10.00 (1.08%),test_t_c001001
TC001002,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,abc,Incomplete answer,0.00 out of 10.00 (0%),test_t_c001002
TC001003,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,-1,Incomplete answer,0.00 out of 10.00 (0%),test_t_c001003
TC001004,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,,Not yet answered,0.00 out of 10.00 (0%),test_t_c001004
TC001005,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,,Questions without a response: 25,0.00/93.00,test_t_c001005
TC001007,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,"1, 2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Answer saved,,test_t_c001007
TC001008,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,"1, 2, 2, 1, 2, 1, 4, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","Answer saved, Questions without a response: 24",,test_t_c001008
TC001009,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,,"Summary of attempt",,test_t_c001009
TC001010,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,,"Finished",,test_t_c001010
TC001011,student,moodle26,Log in > My courses > Chemical Nomenclature > Balancing Chemical Equations (Rob Bright) > Attempt quiz,"2, 1, 2, 1","Finished","4.00/93.00, 4.3, 0.43 out of 10.00 (4.3%)",test_t_c001011
